Threat Title,Category,Interaction,Source-Destination,Priority,Description
Cross Site Scripting,Tampering,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Medium,Potential XSS attack through user input in portal request.
Cross Site Scripting,Tampering,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Medium,Improper input validation may allow script injection.
Cross Site Scripting,Tampering,Admin Login (HTTPS),Admin and Admin Portal,High,XSS in admin context may lead to privilege compromise.
Cross Site Scripting,Tampering,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,Medium,Malicious scripts injected via untrusted internet traffic.
WAF / Reverse Proxy Process Memory Tampered,Tampering,Forwarded Request,WAF/Reverse Proxy and Frontend,Medium,Improper process isolation may allow memory tampering.
Cross Site Request Forgery,Tampering,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Medium,CSRF may force unintended student actions.
Cross Site Request Forgery,Tampering,Admin Login (HTTPS),Admin and Admin Portal,High,CSRF in admin context can cause privilege abuse.
API Backend May be Subject to Elevation of Privilege,Elevation Of Privilege,API Request,Frontend and API Backend,High,Improper authorization checks may allow privilege escalation.
Elevation by Changing the Execution Flow in API Backend,Elevation Of Privilege,API Request,Frontend and API Backend,High,Manipulated request parameters may bypass role enforcement.
Identity Provider May be Subject to Elevation of Privilege,Elevation Of Privilege,OAuth Token Response,Identity Provider and API Backend,High,Compromised token validation may allow impersonation.
Elevation by Changing Execution Flow in Identity Provider,Elevation Of Privilege,OAuth Token Response,Identity Provider and API Backend,High,Improper token validation logic may enable unauthorized access.
Payment Provider May be Subject to Elevation of Privilege,Elevation Of Privilege,Payment Webhook,Payment Provider and API Backend,High,Webhook spoofing may alter payment records.
Elevation by Changing Execution Flow in Payment Processing,Elevation Of Privilege,Payment Webhook,Payment Provider and API Backend,High,Manipulated payment callback could falsely mark invoices paid.
SQL Injection,Tampering,SQL Query,API Backend and Student Database,High,Improper input sanitization may allow unauthorized DB modification.
SQL Injection,Tampering,SQL Query,API Backend and Finance Database,High,Injection may alter financial records.
Information Disclosure,Information Disclosure,SQL Query,API Backend and HR Database,High,Unauthorized access may expose salary data.
Information Disclosure,Information Disclosure,Retrieve Secrets,API Backend and Secrets Vault,High,Exposure of API keys or DB credentials compromises entire system.
Information Disclosure,Information Disclosure,Write Log,Audit Service and Log Store,Medium,Log exposure may leak sensitive system activity.
Denial of Service,Denial Of Service,Portal Request (HTTPS),External Attacker and WAF/Reverse Proxy,Medium,Traffic flooding may degrade availability.
Denial of Service,Denial Of Service,API Request,Frontend and API Backend,Medium,High API call volume may exhaust backend resources.
Denial of Service,Denial Of Service,Payment API Call,API Backend and Payment Provider,Medium,Dependency outage may interrupt payment processing.
