Threat Title,Category,Interaction,Unnamed: 3,Priority,Description,Handling_Decision,Justification
Cross Site Scripting,Tampering,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,The web server 'WAF / Reverse Proxy' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Cross Site Scripting,Tampering,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,The web server 'WAF / Reverse Proxy' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Cross Site Scripting,Tampering,Admin Login (HTTPS),Admin and Admin Portal,High,The web server 'Admin Portal' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Cross Site Scripting,Tampering,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,The web server 'WAF / Reverse Proxy' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
WAF / Reverse Proxy Process Memory Tampered,Tampering,Forwarded Request,WAF/Reverse Proxy and Frontend,High,"If WAF / Reverse Proxy is given access to memory, such as shared memory or pointers, or is given the ability to control what Frontend (Student/Faculty Portal) executes (for example, passing back a function pointer.), then WAF / Reverse Proxy can tamper with Frontend (Student/Faculty Portal). Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Cross Site Scripting,Tampering,Forwarded Request,WAF/Reverse Proxy and Frontend,High,The web server 'Frontend (Student/Faculty Portal)' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Admin Portal Process Memory Tampered,Tampering,Admin API Call,Admin Portal and API Backend,High,"If Admin Portal is given access to memory, such as shared memory or pointers, or is given the ability to control what API Backend executes (for example, passing back a function pointer.), then Admin Portal can tamper with API Backend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Frontend (Student/Faculty Portal) Process Memory Tampered,Tampering,API Request,Frontend and API Backend,High,"If Frontend (Student/Faculty Portal) is given access to memory, such as shared memory or pointers, or is given the ability to control what API Backend executes (for example, passing back a function pointer.), then Frontend (Student/Faculty Portal) can tamper with API Backend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Potential SQL Injection Vulnerability for HR Database,Tampering,SQL Query,API Backend and Databases,High,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
The HR Database Data Store Could Be Corrupted,Tampering,SQL Query,API Backend and Databases,High,Data flowing across SQL Query may be tampered with by an attacker. This may lead to corruption of HR Database. Ensure the integrity of the data flow to the data store.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Potential SQL Injection Vulnerability for Student Database,Tampering,SQL Query,API Backend and Databases,High,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
The Student Database Data Store Could Be Corrupted,Tampering,SQL Query,API Backend and Databases,High,Data flowing across SQL Query may be tampered with by an attacker. This may lead to corruption of Student Database. Ensure the integrity of the data flow to the data store.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Potential SQL Injection Vulnerability for Finance Database,Tampering,SQL Query,API Backend and Databases,High,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
The Finance Database Data Store Could Be Corrupted,Tampering,SQL Query,API Backend and Databases,High,Data flowing across SQL Query may be tampered with by an attacker. This may lead to corruption of Finance Database. Ensure the integrity of the data flow to the data store.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Frontend (Student/Faculty Portal) Process Memory Tampered,Tampering,File Upload,Frontend and Upload Scan Service,High,"If Frontend (Student/Faculty Portal) is given access to memory, such as shared memory or pointers, or is given the ability to control what Upload Scan Service executes (for example, passing back a function pointer.), then Frontend (Student/Faculty Portal) can tamper with Upload Scan Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
The Object Storage (LMS Files) Data Store Could Be Corrupted,Tampering,Store File,Upload Scan Service and Object Storage,High,Data flowing across Store File may be tampered with by an attacker. This may lead to corruption of Object Storage (LMS Files). Ensure the integrity of the data flow to the data store.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
API Backend Process Memory Tampered,Tampering,Audit Entry,API Backend and Audit Service,High,"If API Backend is given access to memory, such as shared memory or pointers, or is given the ability to control what Audit Service executes (for example, passing back a function pointer.), then API Backend can tamper with Audit Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
The Log Store Data Store Could Be Corrupted,Tampering,Write Log,Audit service and Log Store,High,Data flowing across Write Log may be tampered with by an attacker. This may lead to corruption of Log Store. Ensure the integrity of the data flow to the data store.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Spoofing the Faculty External Entity,Spoofing,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,Faculty may be spoofed by an attacker and this may lead to unauthorized access to WAF / Reverse Proxy. Consider using a standard authentication mechanism to identify the external entity.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Spoofing the Admin External Entity,Spoofing,Admin Login (HTTPS),Admin and Admin Portal,High,Admin may be spoofed by an attacker and this may lead to unauthorized access to Admin Portal. Consider using a standard authentication mechanism to identify the external entity.,Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Spoofing the External Attacker External Entity,Spoofing,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,External Attacker may be spoofed by an attacker and this may lead to unauthorized access to WAF / Reverse Proxy. Consider using a standard authentication mechanism to identify the external entity.,Mitigate,"High-risk threat impacting confidentiality, integrity, or availability. Mitigated using appropriate security controls and monitoring."
Spoofing the Identity Provider External Entity,Spoofing,OAuth Token Response,Identity Provider and API Backend,High,Identity Provider may be spoofed by an attacker and this may lead to unauthorized access to API Backend. Consider using a standard authentication mechanism to identify the external entity.,Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
Spoofing the Payment Provider External Entity,Spoofing,Payment Webhook,Payment Provider and API Backend,High,Payment Provider may be spoofed by an attacker and this may lead to unauthorized access to API Backend. Consider using a standard authentication mechanism to identify the external entity.,Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
Spoofing the API Backend Process,Spoofing,SQL Query,API Backend and Databases,High,API Backend may be spoofed by an attacker and this may lead to unauthorized access to HR Database. Consider using a standard authentication mechanism to identify the source process.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
Spoofing of Destination Data Store HR Database,Spoofing,SQL Query,API Backend and Databases,High,HR Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of HR Database. Consider using a standard authentication mechanism to identify the destination data store.,Mitigate,"Injection can lead to full database compromise. Mitigated through parameterized queries, ORM use, and strict input validation."
